ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653232987660
Timestamp end: 1653234788106

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      447.7  1190.9   101.3   192.7   215.9   360.9   400.3   421.3   435.1   457.3   487.7   564.5  2524.3 17791.8 36641.4   5068.7     5031
read      428.4   428.0    86.8   163.5   188.7   349.1   446.7   509.3   562.6   643.5   748.0   918.7  1329.2  4513.2 14535.2  54717.2    54838
read      410.2   368.8    86.8   165.8   191.4   343.1   428.8   484.0   528.5   590.7   687.2   855.9  1300.6  3347.6 12923.9  74874.6    74868
read      460.0   810.3    93.8   167.4   191.3   365.9   461.1   529.5   587.4   649.2   716.0   830.4  1539.8 12731.9 31471.3  30111.2    30015
read      447.7   628.9    86.8   171.6   196.1   362.9   457.5   522.0   580.8   655.0   734.1   861.9  1325.9  9181.9 29186.2  40747.4    40743
read      447.3   792.8    93.8   168.1   191.6   367.1   458.7   525.1   571.5   623.2   679.2   766.2  1276.8 12115.7 31955.9  23728.7    23648
read      346.5   346.4    86.8   167.1   189.9   298.1   357.0   394.6   426.5   467.2   522.2   622.5  1017.1  3708.0 12959.6  97576.6    97712
read      423.4   389.6    86.8   168.0   192.9   348.2   443.6   504.4   555.9   632.4   731.1   885.2  1308.7  4091.0 12788.5  53725.9    53672
read      413.9   291.2    86.8   165.7   190.6   346.9   442.0   502.5   551.6   628.7   725.9   867.4  1222.2  2502.7  8115.9  55425.0    55395
read      448.6   644.6    93.8   173.0   196.7   365.8   460.4   529.0   586.3   648.4   712.3   812.3  1507.4  8437.2 31213.5  29425.2    29425
read      448.8   884.7    93.8   170.4   192.1   372.7   456.0   508.3   538.9   573.3   618.8   701.5  1738.5 12981.9 32370.7  15103.6    15173
read      396.1   335.4    86.8   171.4   196.3   330.5   410.1   462.1   503.2   558.3   645.8   806.9  1285.6  3662.9  9781.1  82320.6    82475
read      339.3   304.7    86.8   164.4   187.9   295.6   356.3   393.9   425.4   465.7   517.0   602.1   899.2  3074.8 11644.7  90580.9    90555
read      431.0   514.7    86.8   153.0   176.3   345.9   450.7   518.4   578.3   660.9   753.3   908.5  1359.7  5959.7 19529.5  47909.4    47944
read      447.9   749.8    86.8   161.0   185.0   360.2   461.4   534.3   591.4   651.5   715.3   814.4  1309.6 10888.5 31683.0  28221.7    28313
read      451.0   800.7    80.4   159.8   183.7   360.8   462.7   537.2   593.3   654.4   721.6   829.2  1321.2 11670.0 35935.6  28511.0    28504
read      440.1   646.3    93.8   169.5   192.6   365.6   461.8   531.3   578.9   629.2   683.3   778.1  1364.0  9020.2 30387.9  22848.3    22886
read      443.7   587.8    93.8   173.5   197.9   367.2   461.8   526.8   585.6   655.4   728.0   842.6  1301.2  7073.1 30358.3  35667.3    35717
read      460.1  1034.7    86.8   163.4   186.9   368.7   454.8   507.9   539.4   576.0   624.4   707.0  2172.3 13793.3 32397.3  14897.6    14828
read      386.6   367.7    80.4   153.9   175.5   310.7   396.8   453.6   499.7   560.5   658.9   848.4  1385.0  3360.5 12853.6  81624.8    81704
read      425.7   498.1    86.8   162.9   187.9   345.5   441.2   505.2   559.2   641.3   739.8   890.1  1305.0  4961.7 24366.6  55759.3    55771
read      347.2   350.2    86.8   161.0   182.9   296.6   361.3   402.1   436.8   481.0   536.4   635.2  1009.2  3462.4 12909.9  85136.3    85226
read      377.6   320.9    80.4   155.7   177.5   303.4   384.1   437.6   483.5   539.9   628.7   820.4  1411.9  3266.3  7736.2  75031.4    75020
read      459.5   777.0    93.8   179.4   203.3   391.2   474.6   519.9   547.8   584.7   636.9   740.8  2117.4  9351.2 31910.5  12387.9    12441
read      440.1   518.6    86.8   157.2   180.7   339.1   444.2   515.8   579.3   672.8   794.5   999.0  1538.4  5303.6 17354.2  56170.6    56208
read      460.9   857.7    93.8   172.0   194.6   376.0   472.7   535.1   575.0   619.4   673.8   766.7  1648.8 14054.1 31466.3  17416.6    17446
read      366.2   363.1    86.8   169.7   192.5   309.5   374.2   417.5   453.9   498.6   558.7   679.8  1177.4  4020.9 13057.6  86922.8    86943
read      438.8   506.2    86.8   150.4   171.6   333.4   452.1   531.5   603.8   699.0   808.2   990.5  1490.0  6364.7 18373.8  49147.4    49138
read      447.4   519.8    86.8   159.5   183.4   349.2   459.6   534.4   603.2   693.2   802.4   983.3  1490.7  5679.2 18526.9  49939.0    49839
read      455.7   607.1    86.8   155.8   179.1   347.6   461.5   538.6   609.3   702.7   813.9   999.0  1567.5  8172.3 30293.9  47659.1    47752
read      486.8   949.7    86.8   166.0   190.6   373.9   483.2   561.0   624.6   686.3   755.1   871.2  1796.0 13483.7 35373.3  27153.4    27181
read      461.6  1325.4   101.3   184.6   205.5   335.3   403.2   430.0   448.8   469.1   501.9   581.5  3412.9 27280.3 37080.2   6092.4     6170
read      480.4  1415.6   101.3   181.7   203.9   347.8   413.4   439.7   460.1   485.2   521.7   600.9  3774.4 28618.6 37465.9   7175.8     7187
read      362.5   345.5    86.8   181.0   203.5   304.4   361.2   397.1   428.6   469.0   526.0   648.2  1482.5  3550.6 10947.2  99292.6    99387
read      340.6   360.3    86.8   164.0   186.3   297.5   357.2   394.4   424.7   463.9   513.6   592.4   882.6  3584.8 12206.7  91929.3    91970
read      376.0   389.8    86.8   156.6   177.8   300.3   375.1   425.6   467.3   522.6   603.3   799.8  1477.3  3909.6 13330.5  79592.3    79658
read      442.9   499.6    86.8   166.0   190.5   342.2   444.1   514.5   575.6   666.2   790.7  1004.3  1550.5  5432.7 18143.7  59270.2    59230
read      385.4   392.3    86.8   171.1   194.6   316.7   393.5   443.4   484.2   535.3   613.2   773.7  1295.5  4235.1 17644.4  77985.4    78081
read      423.3   362.8    86.8   157.1   179.7   327.4   432.4   504.7   568.8   660.8   788.1   992.9  1478.8  3248.8  8514.2  64328.3    64242
read      442.0   583.7    86.8   150.3   172.0   344.7   464.7   546.1   619.2   700.7   790.5   928.1  1358.3  7536.6 30138.5  37795.8    37702
read      450.7   568.5    86.8   158.0   181.8   351.6   467.1   545.7   617.7   702.5   795.9   945.0  1437.4  7112.2 22221.8  40804.9    40686
read      451.2   713.5    86.8   152.4   175.0   355.0   469.8   550.2   617.5   685.5   758.2   874.8  1398.1 10799.2 32029.5  30339.0    30376
read      456.2   586.5    86.8   157.7   180.5   342.9   466.0   549.0   624.8   713.4   816.8   972.2  1573.2  7651.7 29897.2  38390.6    38416
read      429.1   427.8    86.8   151.2   171.4   312.8   425.1   504.6   577.3   683.1   834.7  1081.3  1622.1  3436.8 12057.9  65934.3    65892
read      459.1   708.2    86.8   149.2   169.6   336.0   464.3   551.6   629.7   715.0   811.6   976.4  1628.6  9997.8 31272.9  39489.0    39560
read      469.8  1217.5    93.8   171.3   194.3   353.3   442.5   479.7   504.7   533.3   572.5   657.1  3047.9 19733.7 36530.6  10002.7    10016
read      438.6   543.3    86.8   149.4   169.2   318.2   437.2   519.0   593.8   701.5   838.1  1059.6  1594.0  5543.3 18227.8  55200.2    55224
read      459.9   858.4    86.8   158.6   182.0   362.3   476.6   543.2   586.8   634.2   695.1   798.6  1707.3 13086.3 32356.0  20024.6    19982
read      447.5   527.6    86.8   152.4   173.6   330.8   454.5   535.8   613.4   717.9   838.7  1024.0  1553.1  6266.6 17993.9  48198.5    48114
read      457.4   654.0    86.8   153.9   176.6   347.2   477.0   561.7   634.0   713.7   804.5   943.9  1475.6  7565.8 31184.8  36238.3    36283
read      448.6   712.7    80.4   158.3   181.7   357.0   471.8   545.3   597.0   650.4   717.7   829.2  1348.0  9702.4 31028.2  23250.0    23315
read      461.1  1137.9    86.8   164.3   188.8   354.4   447.3   488.0   516.2   548.1   592.9   685.7  2265.8 16493.3 36577.3  11188.6    11150
read      356.5   379.9    86.8   167.4   190.0   303.3   361.5   398.0   428.5   468.2   525.1   635.9  1387.5  3967.2 14495.8  98591.1    98724
read      428.1   422.4    86.8   157.8   180.5   323.6   431.8   505.8   573.1   671.2   800.0  1009.2  1498.6  3933.8 12780.1  56680.8    56880
read      480.3  1270.5    86.8   159.2   182.0   355.4   455.8   503.1   533.7   568.8   617.9   715.3  2515.1 17438.7 37113.0  13445.5    13467
read      356.0   395.3    80.4   166.1   188.6   302.3   361.2   398.5   428.6   468.0   523.8   631.3  1396.2  3950.5 13894.9  99098.0    99368
read      440.4   503.8    86.8   155.7   178.1   332.1   456.4   535.1   606.9   698.4   807.6   977.8  1450.8  6045.7 16205.7  46214.2    46206
read      435.5   525.5    86.8   155.5   176.9   315.2   422.9   499.6   569.9   674.6   820.3  1072.4  1660.8  5702.7 19689.5  71593.3    71651
read      450.2   770.7    86.8   150.8   172.5   355.5   472.4   546.5   599.7   654.5   718.1   816.8  1472.4 10454.4 31952.1  22836.9    22741
read      430.1   455.8    86.8   147.9   167.8   316.7   437.5   517.3   590.3   694.2   826.3  1041.2  1502.8  4815.1 13579.6  56576.1    56654
read      355.7   348.4    86.8   161.4   182.9   303.9   364.5   401.6   431.9   471.8   528.7   637.1  1394.4  4358.0 12255.0  99533.0    99570
read      468.4   947.2    86.8   153.5   176.6   360.4   473.4   545.3   595.7   650.5   717.8   824.5  1695.5 14013.7 36016.0  23083.2    23047
read      428.8   420.0    86.8   151.4   171.5   305.7   416.2   498.8   575.9   687.1   843.8  1098.6  1680.5  4149.6 12012.5  69995.2    70008
